[1] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  164 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 49°C,  ?? %,  98 % (E:   0 %  D:   0 %),  128 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  157 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  180 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  159 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  168 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 48°C,  ?? %,  98 % (E:   0 %  D:   0 %),  118 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 50°C,  ?? %,  95 % (E:   0 %  D:   0 %),  164 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 49°C,  ?? %,  98 % (E:   0 %  D:   0 %),  164 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  166 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 49°C,  ?? %,  98 % (E:   0 %  D:   0 %),  155 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  162 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 49°C,  ?? %,  98 % (E:   0 %  D:   0 %),  162 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  153 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 50°C,  ?? %,  98 % (E:   0 %  D:   0 %),  164 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 52°C,  ?? %,  96 % (E:   0 %  D:   0 %),  162 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 50°C,  ?? %,  98 % (E:   0 %  D:   0 %),  168 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 52°C,  ?? %,  98 % (E:   0 %  D:   0 %),  153 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 50°C,  ?? %,  98 % (E:   0 %  D:   0 %),  184 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 52°C,  ?? %,  98 % (E:   0 %  D:   0 %),  182 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  166 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 53°C,  ?? %,  98 % (E:   0 %  D:   0 %),  166 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 50°C,  ?? %,  98 % (E:   0 %  D:   0 %),  181 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 53°C,  ?? %,  98 % (E:   0 %  D:   0 %),  184 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  169 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 53°C,  ?? %,  98 % (E:   0 %  D:   0 %),  154 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  166 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 53°C,  ?? %,  98 % (E:   0 %  D:   0 %),  170 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  158 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 53°C,  ?? %,  98 % (E:   0 %  D:   0 %),  125 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 51°C,  ?? %,  98 % (E:   0 %  D:   0 %),  162 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 54°C,  ?? %,  98 % (E:   0 %  D:   0 %),  166 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
