[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     3 / 24576 MB |
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   5 % (E:   0 %  D:   0 %),   31 / 165 W |   655 / 24576 MB | jgong:python/509402(652M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   1 % (E:   0 %  D:   0 %),   31 / 165 W |   811 / 24576 MB | jgong:python/509402(808M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   4 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
